from	to	dist
HNSCC5_p7_HNSCC5_P7_D10	HNSCC5_p13_P13_D01	16
HNSCC5_p3_HNSCC5_P3_H01	HNSCC5_p9_HNSCC5_P9_A02	17
HNSCC5_p3_HNSCC5_P3_H01	HNSCC5_p5_P5_H06	16
HNSCC5_p3_HNSCC5_P3_H01	HNSCC5_p13_P13_B12	20
HNSCC5_p3_HNSCC5_P3_H01	HNSCC5_p3_HNSCC5_P3_F07	13
HNSCC5_p13_P13_G08	HNSCC5_p15_HNSCC5_P15_B10	16
HNSCC5_p13_P13_G08	HNSCC5_p15_HNSCC5_P15_D08	15
HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p15_HNSCC5_P15_A01	12
HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p9_HNSCC5_P9_A08	13
HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p13_P13_C06	13
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p13_P13_C11	15
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_E09	13
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p7_HNSCC5_P7_A04	14
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p7_HNSCC5_P7_A02	17
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p3_HNSCC5_P3_E03	11
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p5_P5_D05	12
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_G09	14
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_G04	18
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_C12	18
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_G07	16
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p14_HNSCC5_P14_LN_E12	10
HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_B10	13
