from	to	dist
t4c14	t4c47	5
t4c14	t4c48	3
t4c14	t4c16	5
t4c14	t4c24	2
t4c14	t4c39	2
t4c14	t4c21	2
t4c17	t4c1	2
t4c17	t4c46	2
t4c17	t4c33	6
t4c17	t4c37	6
t4c17	t4c36	3
t4c17	t4c34	4
t4c17	t4c53	3
t4c17	t4c19	5
t4c17	t4c26	4
t4c17	t4c29	3
t4c11	t4c30	6
t4c36	t4c28	3
t4c36	t4c23	4
t4c51	t4c50	0
t4c39	t4c38	3
t4c39	t4c11	2
t4c39	t4c13	2
t4c52	t4c5	0
t4c52	t4c4	0
t4c52	t4c7	0
t4c52	t4c6	0
t4c52	t4c49	0
t4c52	t4c51	0
t4c46	t4c22	4
t4c44	t4c40	6
t4c48	t4c25	5
t4c25	t4c31	7
t4c21	t4c12	4
t4c23	t4c44	6
t4c1	t4c42	3
t4c1	t4c43	2
t4c1	t4c41	3
t4c1	t4c35	2
t4c1	t4c14	2
t4c3	t4c2	0
t4c3	t4c9	0
t4c3	t4c15	6
t4c3	t4c17	1
t4c3	t4c52	0
t4c3	t4c20	9
t4c8	t4c3	0
t4c43	t4c18	4
t4c53	t4c32	5
t4c53	t4c27	4
t4c53	t4c45	5
