HNSCC5_p14_HNSCC5_P14_LN_B07	HNSCC5_p14_HNSCC5_P14_LN_C08	HNSCC5_p5_P5_E05	HNSCC5_p14_HNSCC5_P14_LN_A07	HNSCC5_p7_HNSCC5_P7_C10	HNSCC5_p9_HNSCC5_P9_B07	HNSCC5_p15_HNSCC5_P15_E11	HNSCC5_p7_HNSCC5_P7_D04	HNSCC5_p5_P5_E03	HNSCC5_p9_HNSCC5_P9_A02	HNSCC5_p13_P13_D03	HNSCC5_p15_HNSCC5_P15_A12	HNSCC5_p13_P13_C06	HNSCC5_p3_HNSCC5_P3_G07	HNSCC5_p13_P13_G04	HNSCC5_p9_HNSCC5_P9_G06	HNSCC5_p9_HNSCC5_P9_H06	HNSCC5_p7_HNSCC5_P7_A02	HNSCC5_p13_P13_B12	HNSCC5_p3_HNSCC5_P3_E03	HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p14_HNSCC5_P14_LN_G08	HNSCC5_p14_HNSCC5_P14_LN_A04	HNSCC5_p7_HNSCC5_P7_F10	HNSCC5_p13_P13_C09	HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p13_P13_A10	HNSCC5_p15_HNSCC5_P15_G06	HNSCC5_p15_HNSCC5_P15_F04	HNSCC5_p9_HNSCC5_P9_G04	HNSCC5_p9_HNSCC5_P9_D04	HNSCC5_p14_HNSCC5_P14_LN_C03	HNSCC5_p9_HNSCC5_P9_D08	HNSCC5_p9_HNSCC5_P9_D10	HNSCC5_p14_HNSCC5_P14_LN_E09	HNSCC5_p9_HNSCC5_P9_B08	HNSCC5_p15_HNSCC5_P15_E07	HNSCC5_p7_HNSCC5_P7_D10	HNSCC5_p14_HNSCC5_P14_LN_E12	HNSCC5_p9_HNSCC5_P9_E08	HNSCC5_p5_P5_E04	HNSCC5_p9_HNSCC5_P9_D03	HNSCC5_p9_HNSCC5_P9_B09	HNSCC5_p14_HNSCC5_P14_LN_G09	HNSCC5_p13_P13_D01	HNSCC5_p7_HNSCC5_P7_A04	HNSCC5_p7_HNSCC5_P7_B09	HNSCC5_p9_HNSCC5_P9_E02	HNSCC5_p5_P5_F11	HNSCC5_p13_P13_E03
TADA3	0.0388228537205687	0.584081275201076	0.356074718892586	0	0.137075379136944	0.398589980421546	0.328280375358046	0.115509194471029	0	0	0.739306589769578	0.253644126870193	0.0371908359982721	0.138802397343871	0.703130048821366	0.00319349401086322	0.351458000827922	0.530959769968774	0.141708802830125	0.534195693361224	0.642898417692049	0.0495324566874523	0.0285848006137103	0.325306633698938	0.032509198330515	0.488190131454824	0.0948392984245137	0.087463168278975	0.270109391397907	0.393739524074548	0.152082992149363	0	0	0.502403162788972	0.344155605482925	0.109124433029673	0.556115256152718	0.123132170348679	1	0	0	0.443364371030668	0.182557073258386	1	0.0101224140385149	0.0780365475717321	0.109106764247131	0	0.214484611859917	0.497927224991053
SEC13	0.0332159715214019	0.551956190356913	0.337298749568578	0	0.166031472234043	0.420207811361074	0.355046202527649	0.101786696032312	0.0101690880663865	0	0.700465995481678	0.272201086318599	0.0867864798493848	0.154588753528378	0.622062225064	0	0.308394157259534	0.531965518647016	0.12668449225019	0.545420755149341	0.632864446165851	0.0581655914580281	0.0374778601020191	0.331475127711841	0.0574517952343483	0.522923053107055	0.156204616631451	0.0750331822892432	0.219825325772297	0.363074446567918	0.143987954392851	0	0	0.461739035051176	0.309227684692918	0.152470193348331	0.547752761988846	0.13106718995155	1	0	0	0.394608032458209	0.17499674048874	0.715516074396092	0.0581586505547443	0.12142691795799	0.138990058113799	0	0.23154825913158	0.537258084763048
AZI2	0.0205629802428189	0.509854806759377	0.293283452075509	0	0.215781085816512	0.438392627954517	0.449534014514115	0.0567597174889172	0.0811015289374283	0.000813687449620071	0.662871386667736	0.326648656752965	0.150604560947436	0.142118162028349	0.426154249930458	0.00535190820187514	0.208193568159309	0.526160707945119	0.139651133716833	0.563548530377682	0.622114276341251	0.0910222269389765	0.0532689925069486	0.341907493610998	0.152738276641226	0.575373272310481	0.299756379966447	0.0770186892585589	0.151952100462245	0.29934206955505	0.166347961250465	0.00658944748192281	0.0642782865290242	0.37699242162468	0.228546209813781	0.229181191112563	0.53506020590753	0.124041176820807	1	0.018184398330015	0.0545633226979102	0.259712287937793	0.151186865194881	0.633525144811438	0.191690404957595	0.231126929311483	0.214084643226231	0	0.2648065720698	0.566060574169519
TGFBR2	0.00138340926420333	0.492190168838822	0.295354407963171	0	0.241062020791735	0.455349272945596	0.474093355975852	0.0576973221097117	0.0959218235656168	0.0127472319992958	0.644342011564272	0.337987052431015	0.157313986436531	0.135452614523982	0.395464361757884	0.00930336773150875	0.195696627099949	0.522881575931877	0.150346765339285	0.575443762138498	0.619698729077862	0.0967910303351973	0.0492827436418906	0.35452297738055	0.180349146247821	0.595679741637435	0.332247538778161	0.0902688745311918	0.153090690551802	0.275179144453922	0.168867002701949	0.0266413594860712	0.0956023896040441	0.3512746553389	0.21562231539065	0.22911073963167	0.541834848931092	0.137794875023314	1	0.0261548655829805	0.0859089541012419	0.241156050960061	0.151700167510323	0.620763857914119	0.222962321995039	0.251901541976029	0.229473130330395	0	0.274476036380639	0.571101665536127
CRTAP	0	0.471202186227694	0.316223744091071	0	0.291433014749714	0.501538939883264	0.522598462316999	0.0763202074981283	0.119842646868332	0.0563696877287603	0.592803393130205	0.366202932144504	0.178777544372583	0.134885971853301	0.344225743845576	0.0293957470351359	0.180673270512056	0.521733017482908	0.159789024444958	0.595456850472726	0.611432886374379	0.109524500159625	0.0473187663210319	0.383780776295095	0.232364227479549	0.637358974234543	0.393348973050782	0.109415257662136	0.159884516449966	0.24163074910144	0.17674663029928	0.0548120010879923	0.160264571764215	0.312258687629	0.203148664293169	0.227930604088604	0.555574023428834	0.174977090860745	1	0.0564322107936464	0.160697016413712	0.214425755558665	0.159052141502163	0.582955985896213	0.274796643222767	0.298534319670701	0.255487439679034	0	0.296237859364068	0.594661068723012
RPSA	0	0.451381499861105	0.339844970791847	0	0.318877380994219	0.539712327225709	0.549146059482773	0.0962507623611141	0.140229756356712	0.11239730632036	0.544722470118551	0.41173276513599	0.211884011965999	0.145647827826808	0.312191448911556	0.0530192154838234	0.149831824185795	0.508871610941119	0.159349108152026	0.617575378206618	0.598887865280825	0.118932542584623	0.0323893325972723	0.421055951176615	0.292676175831463	0.676762197522884	0.447275743627679	0.128037819576221	0.161198525614753	0.207315494183089	0.184404760310258	0.0790459385944343	0.21419391670052	0.277440279446121	0.188160185049151	0.229306726349795	0.558564716912212	0.221884222728796	0.707398782800824	0.0929814734065003	0.229143119383176	0.180646644661355	0.170556125800286	0.534805391740713	0.319651404956021	0.352562009061684	0.290320910404647	0	0.298540954732197	0.614917686271828
EIF1B	0	0.447826103530005	0.343309432142136	0	0.323443137421889	0.548819164698484	0.554215987171063	0.101431853758239	0.143897488056535	0.128008075594435	0.535088784863488	0.422476142679964	0.220545922992391	0.151008614560634	0.302916983494446	0.0609648073594858	0.14174157546295	0.501949427423789	0.158771082296091	0.621173612984092	0.595926195011413	0.119265604009054	0.0297112894640241	0.430369032045192	0.30792672093205	0.686913935290776	0.461076644887168	0.13310413799714	0.160937942564268	0.20038180534461	0.189287506584647	0.0840103025493277	0.229207238911303	0.268388049470163	0.185242404008406	0.228412332827765	0.558553059796635	0.235052510542278	0.690562360052186	0.0993771413105257	0.246432339999775	0.175175490485168	0.17286069224771	0.522871065224666	0.331661457740022	0.366590274084493	0.299713843737427	0	0.298550696887231	0.614194329680911
CCDC12	0	0.431453695295797	0.353928593816933	0.0244393842155558	0.368246047077386	0.619698488295608	0.579509640083257	0.132685257301423	0.1820915509125	0.197729209330793	0.494098866689545	0.486396165433419	0.287843321850004	0.185554854879833	0.246514846725402	0.113535724770885	0.10089286099279	0.449671820613624	0.167010636816155	0.649183465115978	0.585281742188106	0.132119919369559	0.019897179484737	0.487826450477243	0.389662173672379	0.739750887401465	0.536000091484107	0.182419387098769	0.1777189313056	0.194491040661343	0.211929868226982	0.131455483613972	0.348162437626841	0.218557653422737	0.194713148510021	0.246584065694538	0.559804271676624	0.318708397944641	0.596481599611473	0.13603252365117	0.354831890821235	0.158285421470025	0.194559667833257	0.466073054364739	0.411925875299732	0.448920422173877	0.356370072754287	0	0.304507259648524	0.616361385029931
MAP4	0	0.424450472900316	0.354317295136414	0.0282541913626433	0.375736564324324	0.630848222713656	0.58086797982551	0.136708068030882	0.186458339813669	0.206329169312271	0.488228981440387	0.497323748660802	0.29620626696329	0.190244972546336	0.237301457083526	0.121595169026546	0.0933008610155206	0.440855815160524	0.167718982521626	0.650343646985759	0.580690955318016	0.131234806491343	0.0196926156826466	0.49322846021585	0.404828710517607	0.744308651101866	0.545963055393267	0.190217768570877	0.179579970684349	0.190507325636966	0.210908891274224	0.14073275567154	0.366663260826228	0.207378117207357	0.199538241830579	0.25494105307392	0.557905734276788	0.328982016637964	0.581251160692653	0.13882520499006	0.367903086772889	0.157949719541213	0.193795992583112	0.455460867179256	0.422901782868871	0.4591624138993	0.363382186996411	0	0.304817526227424	0.615081921839577
IP6K2	0	0.39816031554757	0.353020654782985	0.0318945624477509	0.40786238520609	0.676404999310162	0.589163001835384	0.159181266337556	0.208443809142155	0.23451396564713	0.461834770814844	0.545010793699706	0.329559496195409	0.214620979502332	0.204506637206065	0.162007596175143	0.0686026114585139	0.412717007715284	0.170471117477298	0.659336008048017	0.563988591465216	0.126975262075259	0.0222002236261579	0.513406039674695	0.456832470113838	1	0.571920316604421	0.221962806809856	0.184688697154877	0.184127491895679	0.19841914541153	0.176027531268329	0.430002703848005	0.151910697455421	0.217015015520919	0.27438674666148	0.55364090227163	0.364560808880839	0.528792704360483	0.161049427521669	0.416802768896253	0.154449287333418	0.198198464309876	0.413675362502058	0.455957192059533	0.496065333887464	0.388530849364986	0	0.311445908808789	0.606007373782993
