region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
chr7:q36.1	-0.86	0.0099009900990099	0.0557582073996873	HNSCC5_p7_HNSCC5_P7_G05	1	50	DEL
chr12:p13.32	-1.68	0.0099009900990099	0.0557582073996873	HNSCC5_p7_HNSCC5_P7_G05	1	50	DEL
chr8:q	1.33866666666667	0.0099009900990099	0.0311589982527665	HNSCC5_p7_HNSCC5_P7_G05	1	50	AMP
chr7:q34	-0.735294117647059	0.00925925925925926	0.0619212962962963	HNSCC5_p5_P5_F11	2	34	DEL
chr7:q36.2	-1.11764705882353	0.00925925925925926	0.0619212962962963	HNSCC5_p5_P5_F11	2	34	DEL
chr8:p23.1-21.3	-0.715686274509804	0.00925925925925926	0.0619212962962963	HNSCC5_p5_P5_F11	2	34	DEL
chr8:q21.3	1.29411764705882	0.00925925925925926	0.0412808641975309	HNSCC5_p5_P5_F11	2	34	AMP
chr8:q22	1.41176470588235	0.00925925925925926	0.0412808641975309	HNSCC5_p5_P5_F11	2	34	AMP
chr8:p11.21	0.857142857142857	0.00649350649350649	0.0386002886002886	HNSCC5_p14_HNSCC5_P14_LN_C09	2	7	AMP
chr8:q11	0.928571428571429	0.00649350649350649	0.0386002886002886	HNSCC5_p14_HNSCC5_P14_LN_C09	2	7	AMP
chr12:p13.31	-1.78571428571429	0.037037037037037	0.283068783068783	HNSCC5_p7_HNSCC5_P7_A04	3	28	DEL
chr8:p11.21	0.6	0.00645161290322581	0.0575268817204301	HNSCC5_p9_HNSCC5_P9_F10	4	5	AMP
chr8:q11	0.9	0.00645161290322581	0.0575268817204301	HNSCC5_p9_HNSCC5_P9_F10	4	5	AMP
chr8:p21.2	-0.681818181818182	0.00925925925925926	0.0762108262108262	HNSCC5_p7_HNSCC5_P7_G04	4	22	DEL
chr8:p12	-0.545454545454545	0.00925925925925926	0.0762108262108262	HNSCC5_p7_HNSCC5_P7_G04	4	22	DEL
chr12:q24.12-24.13	0.8125	0.0136054421768707	0.0808767951625095	HNSCC5_p14_HNSCC5_P14_LN_G06	9	8	AMP
