region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
CHEK2	-0.9375	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
CSNK1E	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
DMC1	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
EP300	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
MAPK1	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
MRPL40	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
NF2	-0.9375	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
RBX1	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
TOP3B	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
XRCC6	-1	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
ZNRF3	-0.9375	0.00199600798403194	0.00199600798403194	t4c23	3	16	DEL
