region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
chr19:q12	0.736842105263158	0.0388349514563107	0.177823198773633	t4c17	2	38	AMP
chr14:q22	0.631578947368421	0.0485436893203883	0.177823198773633	t4c17	2	38	AMP
chr7:q11	0.578947368421053	0.0242718446601942	0.177823198773633	t4c17	2	38	AMP
chr7:q21.13	0.55	0.0446428571428571	0.380129179331307	t4c1	3	20	AMP
chr7:q31.33	0.55	0.0357142857142857	0.380129179331307	t4c1	3	20	AMP
chr7:q35-36.1	0.55	0.0446428571428571	0.380129179331307	t4c1	3	20	AMP
chr19:q12	-0.6	0.0413793103448276	1	t4c36	3	5	DEL
chr7:q31.31	0.642857142857143	0.0347826086956522	0.228715874620829	t4c14	4	14	AMP
chr7:q34	0.642857142857143	0.0434782608695652	0.228715874620829	t4c14	4	14	AMP
chr10:q22.3	-1	0.0347826086956522	0.857391304347826	t4c14	4	14	DEL
chr14:q13.1	0.928571428571429	0.0434782608695652	0.228715874620829	t4c14	4	14	AMP
chr14:q23	0.928571428571429	0.0260869565217391	0.228715874620829	t4c14	4	14	AMP
chr7:p21.1-15.3	1	0.0344827586206897	0.393103448275862	t4c39	5	5	AMP
chr7:p14.3	1	0.0206896551724138	0.393103448275862	t4c39	5	5	AMP
