region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
chr7:q22.3	-0.6	0.00199600798403194	0.0307955517536356	HNSCC5_p5_P5_H06	2	10	DEL
chr7:q33	-0.9	0.00199600798403194	0.0307955517536356	HNSCC5_p5_P5_H06	2	10	DEL
chr7:q31-32	-0.75	0.00199600798403194	0.0307955517536356	HNSCC5_p5_P5_H06	2	10	DEL
chr7:q31-32	-0.75	0.00199600798403194	0.0307955517536356	HNSCC5_p5_P5_H06	2	10	DEL
chr12:q24.12-24.13	1	0.00199600798403194	0.107784431137725	HNSCC5_p7_HNSCC5_P7_D10	3	5	AMP
chr12:q24.23	1	0.00399201596806387	0.143712574850299	HNSCC5_p7_HNSCC5_P7_D10	3	5	AMP
chr7:p22.1	0.518518518518518	0.00798403193612774	0.287425149700599	HNSCC5_p14_HNSCC5_P14_LN_A09	3	27	AMP
chr7:q22.1	-0.555555555555556	0.00399201596806387	0.0538922155688623	HNSCC5_p5_P5_B05	3	9	DEL
chr7:p22.3	0.64	0.00798403193612774	0.215568862275449	HNSCC5_p13_P13_A05	4	25	AMP
chr7:p15.2	0.52	0.00998003992015968	0.215568862275449	HNSCC5_p13_P13_A05	4	25	AMP
chr7:p15.3	0.541666666666667	0.00798403193612774	0.123182207014542	HNSCC5_p13_P13_F10	5	24	AMP
chr7:p21	0.541666666666667	0.00798403193612774	0.123182207014542	HNSCC5_p13_P13_F10	5	24	AMP
chr12:p13.32	-1.94736842105263	0.00399201596806387	0.431137724550898	HNSCC5_p9_HNSCC5_P9_D05	6	19	DEL
chr8:q11	0.916666666666667	0.00798403193612774	0.12125748502994	HNSCC5_p7_HNSCC5_P7_A12	8	6	AMP
