region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
chr7:q11.22	0.605263157894737	0.00399201596806387	0.00992301112061591	t4c17	2	38	AMP
chr10:p11.22	-0.868421052631579	0.00199600798403194	0.00723552894211577	t4c17	2	38	DEL
chr10:p11.1	-0.842105263157895	0.00199600798403194	0.00723552894211577	t4c17	2	38	DEL
chr10:q	-0.879699248120301	0.00199600798403194	0.00723552894211577	t4c17	2	38	DEL
chr7:q21.13	0.55	0.00399201596806387	0.0151002343139807	t4c1	3	20	AMP
chr7:q31.33	0.55	0.00199600798403194	0.0151002343139807	t4c1	3	20	AMP
chr7:q35-36.1	0.55	0.00399201596806387	0.0151002343139807	t4c1	3	20	AMP
chr10:p13	-0.9	0.00598802395209581	0.104191616766467	t4c1	3	20	DEL
chr10:q25.1	-0.9	0.00598802395209581	0.104191616766467	t4c1	3	20	DEL
chr19:p13.12-12	1.06666666666667	0.00465735196274118	0.0156685227021413	t4c1	3	20	AMP
chr14:q	0.647058823529412	0.00657508512386991	0.0179112601725868	t4c1	3	20	AMP
chr19:q	0.97	0.00379241516966068	0.0156380238272555	t4c1	3	20	AMP
chr19:q12	-0.6	0.00199600798403194	0.173652694610778	t4c36	3	5	DEL
chr7:p22.3	0.642857142857143	0.00199600798403194	0.00526220286699329	t4c14	4	14	AMP
chr7:p15.3	0.571428571428571	0.00199600798403194	0.00526220286699329	t4c14	4	14	AMP
chr7:q22.2-22.3	0.642857142857143	0.00598802395209581	0.0133578995854445	t4c14	4	14	AMP
chr7:q34	0.642857142857143	0.00199600798403194	0.00526220286699329	t4c14	4	14	AMP
chr7:q36.2	0.642857142857143	0.00199600798403194	0.00526220286699329	t4c14	4	14	AMP
chr14:q	0.828571428571429	0.00279441117764471	0.00688134221068353	t4c14	4	14	AMP
chr10:q22	-0.952380952380952	0.00465735196274118	0.173652694610778	t4c14	4	14	DEL
chr7:p21	0.607142857142857	0.00199600798403194	0.00526220286699329	t4c14	4	14	AMP
chr7:q31	0.642857142857143	0.00199600798403194	0.00526220286699329	t4c14	4	14	AMP
chr7:p14.3	1	0.00199600798403194	0.0289421157684631	t4c39	5	5	AMP
chr7:q36.3	1	0.00199600798403194	0.0289421157684631	t4c39	5	5	AMP
