chr	start	end	name	pathway
chr1	120454175	120612317	NOTCH2	Notch
chr1	11166587	11322608	MTOR	PI3K
chr1	16174358	16266950	SPEN	Notch
chr1	46505811	46596345	PIK3R3	PI3K
chr1	197170591	197447585	CRB1	Hippo
chr1	214522038	214725024	PTPN14	Hippo
chr1	243651534	244006584	AKT3	PI3K
chr1	8071778	8086393	ERRFI1	RTK/RAS
chr1	40361095	40367687	MYCL	MYC
chr1	51434366	51440306	CDKN2C	cellcycle
chr1	115247084	115259515	NRAS	RTK/RAS
chr1	155867598	155880706	RIT1	RTK/RAS
chr1	156785541	156851642	NTRK1	RTK/RAS
chr1	204485506	204527248	MDM4	p53
chr1	227058272	227083804	PSEN2	Notch
chr2	212240441	213403352	ERBB4	RTK/RAS
chr2	225334866	225450114	CUL3	Nrf2
chr2	29415639	30144477	ALK	RTK/RAS
chr2	39208689	39347604	SOS1	RTK/RAS
chr2	85360582	85537511	TCF7L1	Wnt
chr2	148602085	148688396	ACVR2A	TGFB
chr2	178095030	178128859	NFE2L2	Nrf2
chr2	202899309	202903160	FZD7	Wnt
chr2	230222344	230579286	DNER	Notch
chr2	16080559	16087129	MYCN	MYC
chr2	70142172	70170077	MXD1	MYC
chr2	74379724	74405441	MOB1A	Hippo
chr2	208627309	208634143	FZD5	Wnt
chr3	138371539	138426463	PIK3CB	PI3K
chr3	1134341	1445294	CNTN6	Notch
chr3	20081523	20195896	KAT2B	Notch
chr3	30647993	30735634	TGFBR2	TGFB
chr3	119540799	119813264	GSK3B	Wnt
chr3	178866310	178957881	PIK3CA	PI3K
chr3	12625099	12705700	RAF1	RTK/RAS
chr3	41240914	41281944	CTNNB1	Wnt
chr4	55524094	55606881	KIT	RTK/RAS
chr4	142944312	143767688	INPP4B	PI3K
chr4	155155526	155312449	DCHS2	Hippo
chr4	71768056	71842460	MOB1B	Hippo
chr4	126237566	126414087	FAT4	Hippo
chr4	140637544	141075233	MAML3	Notch
chr4	153242409	153456185	FBXW7	Notch
chr4	187508936	187644987	FAT1	Hippo
chr4	1795038	1810599	FGFR3	RTK/RAS
chr4	2249159	2263739	MXD4	MYC
chr4	55095255	55148145	PDGFRA	RTK/RAS
chr4	154701741	154710228	SFRP2	Wnt
chr5	167719064	167899308	WWC1	Hippo
chr5	38938021	39074510	RICTOR	PI3K
chr5	86564069	86687743	RASA1	RTK/RAS
chr5	112043201	112181936	APC	Wnt
chr5	67511583	67597649	PIK3R1	PI3K
chr5	133450388	133483920	TCF7	Wnt
chr5	150883652	150948505	FAT2	Hippo
chr5	176513872	176525143	FGFR4	RTK/RAS
chr5	176732500	176739292	MXD3	MYC
chr6	41902670	42016632	CCND3	cellcycle
chr6	20402136	20493945	E2F3	cellcycle
chr6	117609529	117747018	ROS1	RTK/RAS
chr6	32162619	32191844	NOTCH4	Notch
chr6	36644236	36655116	CDKN1A	cellcycle
chr6	149979288	150037561	LATS1	Hippo
chr7	92234234	92463231	CDK6	cellcycle
chr7	116312412	116438440	MET	RTK/RAS
chr7	140433811	140624564	BRAF	RTK/RAS
chr7	6414125	6443598	RAC1	RTK/RAS
chr7	55086713	55270769	EGFR	RTK/RAS
chr7	37945533	37956525	SFRP4	Wnt
chr7	72848108	72850450	FZD9	Wnt
chr7	73007523	73038870	MLXIPL	MYC
chr7	90893782	90898132	FZD1	Wnt
chr7	148395932	148498202	CUL1	Notch
chr7	151163097	151217010	RHEB	PI3K
chr8	99466858	99837899	STK3	Hippo
chr8	38268655	38325363	FGFR1	RTK/RAS
chr8	41119475	41166990	SFRP1	Wnt
